Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
ECON 230 LEC 3,Statistics and Data Analysis,16W,4.0,MW 11:00AM-12:30PM,Usman Elahi
ECON 230 LAB 1,Statistics and Data Analysis,16W,4.0,T 2:00PM-2:50PM,Rimsha Arif
ECON 230 LAB 2,Statistics and Data Analysis,16W,4.0,T 5:00PM-5:50PM,Rimsha Arif
ECON 230 LAB 3,Statistics and Data Analysis,16W,4.0,R 5:00PM-5:50PM,Eeman Shehzad Qureshi
ECON 230 LAB 4,Statistics and Data Analysis,16W,4.0,T 3:00PM-3:50PM,Eeman Shehzad Qureshi
ECON 230 LAB 5,Statistics and Data Analysis,16W,4.0,W 4:00PM-4:50PM,Eeman Shehzad Qureshi
ECON 230 LAB 6,Statistics and Data Analysis,16W,4.0,R 3:00PM-3:50PM,Eeman Shehzad Qureshi
ECON 233 LEC 1,Introduction to Game Theory,16W,4.0,MW 10:00AM-11:50AM,Lyyla Khalid
ECON 233 LEC 2,Introduction to Game Theory,16W,4.0,TR 10:00AM-11:50AM,Lyyla Khalid
ECON 240 LEC 1,Development Economics,16W,4.0,TR 3:00PM-4:50PM,Nadia Mukhtar Sayed
ECON 247 LEC 1,Sectors and Policy in Development,16W,4.0,MW 10:00AM-11:50AM,Hadia Majid
ECON 261 LEC 1,Principles of Finance,16W,4.0,TR 12:00PM-1:50PM,Sheraz Latif Malik
ECON 262 LEC 1,Mathematical Applications in Economics,16W,4.0,MW 10:00AM-11:50AM,Mushtaq Ahmad Khan
ECON 323 LEC 1,Economic History of South Asia,16W,4.0,TR 12:00PM-1:50PM,Fahd Ali
ECON 330 LEC 1,Econometrics,16W,4.0,MW 10:00AM-11:30AM,Farah Said
ECON 330 LEC 2,Econometrics,16W,4.0,TR 10:00AM-11:30AM,Muhammad Farooq Naseer
ECON 330 LAB 1,Econometrics,16W,4.0,F 11:00AM-11:50AM,Rabia Khan
ECON 330 LAB 2,Econometrics,16W,4.0,F 12:00PM-12:50PM,Rabia Khan
ECON 330 LAB 3,Econometrics,16W,4.0,W 5:00PM-5:50PM,Yushma Umar
ECON 330 LAB 4,Econometrics,16W,4.0,W 2:00PM-2:50PM,Yushma Umar
ECON 3402 LEC 1,Gender Economics,16W,4.0,TR 4:00PM-5:50PM,Hana Zahir
ECON 343 LEC 1,Agriculture and Food Policy,16W,4.0,TR 2:00PM-3:50PM,Abid Aman Burki
ECON 3603 LEC 1,"Money and Monetary Policy: Applications to
Pakistan",16W,4.0,MW 10:00AM-11:50AM,
ECON 363 LEC 1,Economics of Investment and Finance,16W,4.0,MW 9:30AM-11:20AM,Mohammad Usman Khan
ECON 4102 LEC 1,Gender and the Labor Market,16W,4.0,TR 10:00AM-11:50AM,Hadia Majid
ECON 427 LEC 1,Computational Macroeconomics,16W,4.0,MW 10:00AM-11:50AM,Syed Zahid Ali
ECON 438 LEC 1,Econometrics II,16W,4.0,MW 12:00PM-1:50PM,Adeel Tariq
ECON 441 LEC 1,Development Economics Theory,16W,4.0,MW 3:00PM-4:50PM,Khalid Mir
ECON 4410 LEC 1,Issues in Economic Policy,16W,4.0,MW 9:00AM-10:50AM,"Nazish Afraz
Ijaz Nabi"
ECON 449 LEC 1,Philosophy and Economics,16W,4.0,MW 10:00AM-11:50AM,Khalid Mir
ECON 511 LEC 1,Microeconomic Analysis,16W,4.0,MW 10:00AM-11:50AM,Osama Khan
ECON 531 LEC 1,Econometrics and Research Methodology I,16W,4.0,TR 10:00AM-11:50AM,Mushtaq Ahmad Khan
ECON 536 LEC 1,Topics in Mathematical Method for Economists,16W,4.0,MW 3:00PM-4:50PM,Syed Zahid Ali
EDU 210 LEC 1,Critical Debates in Education,16W,3.0,MW 8:00AM-9:15AM,Gulab Khan
EDU 218 LEC 1,"Education and International Development -
Concepts, Theories, and Issues",16W,3.0,TR 8:00AM-9:15AM,Farah Syed
EDU 223 LEC 1,"Trauma-Informed Education Systems: Creating
Cultures of Support and Change",16W,3.0,MW 8:00AM-9:15AM,Fizza Suhail
EDU 272 LEC 1,"Education, Schools and Violence",16W,3.0,TR 8:00AM-9:15AM,
EDU 274 LEC 1,Gender Media and Education,16W,3.0,TR 8:00AM-9:15AM,Hasham Nasir
EDU 3203 LEC 1,"Designing Immersive Learning Experiences:
Student-Centered Instructional Skills Training",16W,3.0,TR 9:30AM-10:45AM,
EDU 3207 LEC 1,Socio Emotional Learning,16W,3.0,TR 3:30PM-4:45PM,Mariam Haider
EDU 321 LEC 1,"Inclusive Pedagogy: Rethinking teaching, learning
and assessment",16W,3.0,TR 8:00AM-9:15AM,Fizza Suhail
EDU 325 LEC 1,The (Instructional) Core and How to Work it,16W,3.0,MW 12:30PM-1:45PM,Mehreen Noon
EDU 353 LEC 1,Education and Conflict,16W,3.0,TR 12:00PM-1:15PM,Hasham Nasir
EDU 372 LEC 1,Mobile Lives: Im/migration and Education,16W,3.0,TR 4:30PM-5:45PM,Daniyal Yousaf
EDU 412 LEC 1,Economics of Education,16W,3.0,MW 12:00PM-1:15PM,Jasir Shahbaz
EDU 422 LEC 1,Behavior Analysis for Effective Teaching,16W,3.0,TR 10:30AM-11:45AM,Aaishay Haque
EDU 510 SEM 1,"Interdisciplinary Theoretical Perspectives on
Education",16W,3.0,F 2:00PM-4:50PM,"Aaishay Haque
Tayyaba Tamim"
EDU 512 SEM 1,The Arts and Education,16W,3.0,M 3:00PM-5:50PM,Razia Iram Sadik
EDU 515 SEM 1,"Education and Happiness: Combining learning with
hope and positivity",16W,3.0,F 8:00AM-10:50AM,Irfan Muzaffar
EDU 526 LEC 1,"Enhancing Inclusion: Exploring Autism and
Intellectual Disability",16W,3.0,TR 1:00PM-2:15PM,Mariam Haider
EDU 540 LEC 1,Leadership: The Politics of Change,16W,3.0,TR 8:00AM-9:15AM,Mariam Chughtai
EDU 560 SEM 1,Research Methods,16W,3.0,F 8:00AM-10:50AM,"Soufia Anis Siddiqi
Ahmad Ayub"
EDU 590 FLD 1,Observing Schools,16W,1.0,W 10:30AM-4:20PM,Hasham Nasir
EDU 643 LEC 1,"Contemporary Management Concepts in
Educational Leadership",16W,3.0,MW 2:30PM-3:45PM,
EDU 690 SEM 1,Practicum Proseminar,16W,3.0,F 8:00AM-10:50AM,Gulab Khan
EDU 690 SEM 2,Practicum Proseminar,16W,3.0,F 2:00PM-4:50PM,Soufia Anis Siddiqi
EDU 693 LEC 1,Academic Writing,16W,1.0,F 12:00PM-12:50PM,Sannia Hussain
EDUX 510 LEC 1,"Interdisciplinary Theoretical Perspectives on
Education",EDUX(Alternate Sat-Sun),3.0,SSu 1:00PM-2:50PM,
EDUX 526 LEC 1,Professional Learning in Education,EDUX(Alternate Sat-Sun),3.0,SSu 12:00PM-1:50PM,Jessica Albrent
EDUX 540 LEC 1,Leadership: The Politics of Change,EDUX(Alternate Sat-Sun),3.0,SSu 4:00PM-5:50PM,"Jessica Albrent
Hasham Nasir"
EDUX 560 LEC 1,Research Methods,EDUX(Alternate Sat-Sun),3.0,SSu 8:00AM-9:50AM,
EDUX 590 FLD 1,Observing Schools,EDUX(Alternate Sat-Sun),1.0,Su 10:00AM-11:30AM,Hasham Nasir
EDUX 616 LEC 1,"Arts-Based Research: Exploring Creative Practices
in Educational Inquiry",EDUX(Alternate Sat-Sun),3.0,SSu 3:00PM-4:50PM,Razia Iram Sadik
EDUX 662 LEC 1,Impact Evaluation Methods in Education,EDUX(Alternate Sat-Sun),3.0,SSu 2:00PM-3:50PM,Farah Nadeem
EDUX 690 LEC 1,Practicum Proseminar,EDUX(Alternate Sat-Sun),3.0,Su 8:00AM-11:50AM,Razia Iram Sadik
EDUX 690 LEC 2,Practicum Proseminar,EDUX(Alternate Sat-Sun),3.0,S 8:00AM-11:50AM,Farah Nadeem
EDUX 693 LEC 1,Academic Writing,EDUX(Alternate Sat-Sun),1.0,S 10:00AM-11:30AM,Sannia Hussain
EE 200 LAB 1,Sophomore Design Studio,16W,1.0,W 1:30PM-4:20PM,Talha Manzoor
EE 203 LEC 1,Engineering Models,16W,3.0,TR 9:30AM-10:45AM,Hassan Mohy-ud-Din
EE 240 LEC 1,Circuits I,16W,3.0,TR 1:00PM-2:15PM,Zubair Khalid
EE 324 LEC 1,Microcontroller and Interfacing,16W,2.0,MW 2:00PM-2:50PM,Muhammad Jahangir Ikram
EE 324L LAB 1,Microcontroller and Interfacing Lab,16W,1.0,T 11:00AM-1:50PM,Muhammad Jahangir Ikram
EE 324L LAB 2,Microcontroller and Interfacing Lab,16W,1.0,R 3:00PM-5:50PM,Muhammad Jahangir Ikram
EE 330 LEC 1,Electromagnetic Fields and Waves,16W,3.0,MW 9:30AM-10:45AM,Muhammad Imran Cheema
EE 340 LEC 1,Devices and Electronics,16W,3.0,MW 12:30PM-1:45PM,Nauman Ahmad Zaffar
EE 340L LAB 1,Devices and Electronics Lab,16W,1.0,T 2:00PM-4:50PM,Nauman Ahmad Zaffar
EE 340L LAB 2,Devices and Electronics Lab,16W,1.0,F 2:00PM-4:50PM,Nauman Ahmad Zaffar
EE 340L LAB 3,Devices and Electronics Lab,16W,1.0,W 3:00PM-5:50PM,Nauman Ahmad Zaffar
EE 380 LEC 1,Communication Systems,16W,3.0,MW 11:00AM-12:15PM,Ijaz Haider Naqvi
EE 380L LAB 1,Communication Systems Lab,16W,1.0,F 2:00PM-4:50PM,"Ahsan Ikram
Ijaz Haider Naqvi"
EE 380L LAB 2,Communication Systems Lab,16W,1.0,T 2:30PM-5:20PM,"Ahsan Ikram
Ijaz Haider Naqvi"
EE 380L LAB 3,Communication Systems Lab,16W,1.0,F 10:00AM-12:50PM,Ijaz Haider Naqvi
EE 414 LEC 1,Deep Learning,16W,3.0,TR 11:30AM-12:45PM,Hassan Mohy-ud-Din
EE 421 LEC 1,Digital System Design,16W,3.0,MW 11:30AM-12:45PM,Shahid Masud
EE 421L LAB 1,Digital System Design Lab,16W,1.0,F 10:00AM-12:50PM,Shahid Masud
EE 452 LEC 1,Power Electronics,16W,3.0,MW 1:30PM-2:45PM,Hafsa Qamar
EE 452L LAB 1,Power Electronics Lab,16W,1.0,T 11:30AM-2:20PM,Hafsa Qamar
EE 452L LAB 2,Power Electronics Lab,16W,1.0,W 10:30AM-1:20PM,Hafsa Qamar
EE 453 LEC 1,Power Systems Protection and Stability,16W,3.0,MW 3:00PM-4:15PM,Raheel Zafar
EE 453L LAB 1,Power Systems Protection and Stability,16W,1.0,F 3:00PM-5:50PM,Raheel Zafar
EE 5102 LEC 1,Advanced Topics in Machine Learning,16W,3.0,MW 4:30PM-5:45PM,Muhammad Tahir
EE 520 LEC 1,Computer Architecture,16W,3.0,MW 4:30PM-5:45PM,Muhammad Adeel Ahmed Pasha
EE 5202 LEC 1,VLSI Design for Artificial Intelligence,16W,3.0,MW 4:30PM-5:45PM,Muhammad Ali Siddiqi
EE 5203 LEC 1,"Data Analysis, Design of Experiments and Physics
Informed ML",16W,3.0,TR 9:30AM-10:45AM,Nauman Zafar Butt
EE 5216 LEC 1,Hardware Design for IoT Security,16W,3.0,MW 10:00AM-11:15AM,Muhammad Ali Siddiqi
EE 5502 LEC 1,Local Solutions for Energy Access,16W,3.0,MW 9:00AM-10:15AM,"Naveed Arshad
Nauman Ahmad Zaffar"
EE 555 LEC 1,Renewable Energy Systems,16W,3.0,MW 4:30PM-5:45PM,Hassan Abbas Khan
EE 567 LEC 1,Multi-agent Systems,16W,3.0,TR 9:30AM-10:45AM,Hassan Jaleel
EE 576 LEC 1,Smart Grid: Technology and Applications,16W,3.0,TR 4:30PM-5:45PM,Naveed Ul Hassan
EMBA 5013 LEC 1,"Understanding Financial Accounting: Making More
Authoritative Decisions",M01,1.0,SSu 8:30AM-10:35AM,Asad Alam
EMBA 5013 LEC 2,"Understanding Financial Accounting: Making More
Authoritative Decisions",M01,1.0,SSu 10:55AM-1:00PM,Asad Alam
EMBA 5022 LEC 1,Corporate Finance,M04,1.0,SSu 10:55AM-1:00PM,Syed Mubashir Ali
EMBA 5022 LEC 2,Corporate Finance,M04,1.0,SSu 2:00PM-4:05PM,Syed Mubashir Ali
EMBA 5041 LEC 1,Marketing Management,M01,1.0,SSu 2:00PM-4:05PM,Ehsan Ul Haque
EMBA 5041 LEC 2,Marketing Management,M01,1.0,SSu 8:30AM-10:35AM,Ehsan Ul Haque
EMBA 5063 LEC 1,Problem Solving and Decision Making,M01,1.0,SSu 10:55AM-1:00PM,Jamshed Hasan Khan
EMBA 5063 LEC 2,Problem Solving and Decision Making,M01,1.0,SSu 2:00PM-4:05PM,Jamshed Hasan Khan
EMBA 5211 LEC 1,Business Law,M04,1.0,SSu 8:30AM-10:35AM,Faiza Ali
EMBA 5211 LEC 2,Business Law,M04,1.0,SSu 10:55AM-1:00PM,Faiza Ali
EMBA 6071 LEC 1,Venture Creation,M04,1.0,SSu 2:00PM-4:05PM,Mansoor Nawaz
EMBA 6071 LEC 2,Venture Creation,M04,1.0,SSu 8:30AM-10:35AM,Mansoor Nawaz
ENGG 100 LAB 1,Design and Measurement Lab,16W,2.0,W 9:00AM-1:50PM,Qasim Imtiaz
ENGG 100 LAB 2,Design and Measurement Lab,16W,2.0,R 9:00AM-1:50PM,"Muhammad Umar Hassan
Ammar Ahmed Khan"
ENGG 100 LAB 3,Design and Measurement Lab,16W,2.0,T 9:00AM-1:50PM,"Muhammad Umar Hassan
Ammar Ahmed Khan"
ENGG 100 LAB 4,Design and Measurement Lab,16W,2.0,M 9:00AM-1:50PM,Zubair Khalid
ENGG 100 LAB 5,Design and Measurement Lab,16W,2.0,R 1:30PM-6:20PM,Muhammad Tahir
ENGG 100 LEC 1,Design and Measurement Lab,16W,2.0,W 8:00AM-8:50AM,Qasim Imtiaz
ENGG 100 LEC 2,Design and Measurement Lab,16W,2.0,R 8:00AM-8:50AM,"Muhammad Umar Hassan
Ammar Ahmed Khan"
ENGG 100 LEC 3,Design and Measurement Lab,16W,2.0,T 8:00AM-8:50AM,"Muhammad Umar Hassan
Ammar Ahmed Khan"
ENGG 100 LEC 4,Design and Measurement Lab,16W,2.0,M 8:00AM-8:50AM,Zubair Khalid
ENGG 100 LEC 5,Design and Measurement Lab,16W,2.0,R 12:30PM-1:20PM,Muhammad Tahir
ENGL 1000 LEC 1,Introduction to Literature in English,16W,4.0,TR 2:00PM-3:50PM,Tom Edward Sewel
ENGL 1102 LEC 1,Writing South Asia,16W,4.0,TR 4:30PM-6:20PM,Younis Bin Azeem
ENGL 1192 LEC 1,Introduction to Humour Writing,16W,4.0,MW 2:00PM-3:50PM,Younis Bin Azeem
ENGL 2402 LEC 1,Comics Scholarship and Graphic Narrative,16W,4.0,MW 8:00AM-9:50AM,Tom Edward Sewel
ENGL 2811 LEC 1,"Rethinking the Politics of Harem in Literature:
Women, Islam, and Gendered Spaces",16W,4.0,MW 12:00PM-1:50PM,Sadia Zulfiqar
ENGL 2991 LEC 1,"Text and Tech: Digital Approaches to the
Humanities",16W,4.0,TR 8:00AM-9:50AM,
ENGL 3172 LEC 1,"'The Empire Writes Back’: Diaspora Fiction in
Europe",16W,4.0,MW 8:00AM-9:50AM,Farah Hasan Ali
ENGL 3812 LEC 1,African Literature: Women Writing Back,16W,4.0,MW 12:00PM-1:50PM,Furrukh A. Khan
ENV 102 LEC 1,Introduction to Environmental Studies,16W,4.0,TR 10:00AM-11:50AM,Maryam Ibrahim
ENV 132 LEC 1,Disasters,16W,4.0,TR 2:00PM-3:50PM,Sana Khosa
ENV 210 LEC 1,Methods in Environmental Studies,16W,4.0,MW 12:00PM-1:50PM,
ENV 342 LEC 1,Environmentalism and Development,16W,4.0,MW 3:00PM-4:50PM,Maryam Ibrahim
FINN 100 LEC 1,Principles of Finance,16W,3.0,MW 9:30AM-10:45AM,Salman Khan
FINN 200 LEC 1,Intermediate Finance,16W,3.0,MW 11:00AM-12:15PM,Bushra Naqvi
FINN 200 LEC 2,Intermediate Finance,16W,3.0,MW 8:00AM-9:15AM,Syed Hashim Mahmood Ali
FINN 200 LEC 3,Intermediate Finance,16W,3.0,MW 9:30AM-10:45AM,Syed Hashim Mahmood Ali
FINN 243 LEC 1,"Fintech Revolution: Market Disruption and
Emerging Opportunities",16W,3.0,TR 5:00PM-6:15PM,Syed Hashim Mahmood Ali
FINN 372 LEC 1,Actuarial Sciences and Insurance,16W,3.0,TR 12:30PM-1:45PM,Nauman Afzal Cheema
FINN 373 LEC 1,Fundamentals of Actuarial Mathematics I,16W,3.0,TR 5:00PM-6:15PM,
FINN 400 LEC 1,Applied Corporate Finance,16W,3.0,TR 2:00PM-3:15PM,Saad Azmat
FINN 403 LEC 1,Financial Modelling,16W,3.0,TR 11:00AM-12:15PM,Talha Farrukh
FINN 441 LEC 1,Islamic Banking and Finance,16W,3.0,TR 3:30PM-4:45PM,Saad Azmat
FINN 454 LEC 1,Portfolio Management,16W,3.0,MW 11:00AM-12:15PM,Syed Kumail Abbas Rizvi
FINN 7201 LEC 1,Mathematical Modeling,16W,3.0,W 9:30AM-12:30PM,
FINN 8001 SEM 1,Seminar in Islamic and Corporate Finance,16W,3.0,R 10:30AM-1:30PM,Saad Azmat
FINN 8401 SEM 1,"Seminar in Financial Intermediation and
Regualatory Framework",16W,3.0,T 12:30PM-3:30PM,Bushra Naqvi
FMG 5101 LEC 1,Financial Statement Analysis and Value Creation,MS1,3.0,FSSu 10:45AM-12:45PM,Syed Kumail Abbas Rizvi
GSL 102 SEM 1,Chinese Language for Beginners (HSK Level 1),16W,4.0,TR 2:00PM-3:50PM,Hui Qi
GSL 102 SEM 2,Chinese Language for Beginners (HSK Level 1),16W,4.0,TR 4:00PM-5:50PM,Sikandar Ahmed Shah
GSL 202 LEC 1,Writing from the Trial,16W,4.0,MW 11:00AM-12:50PM,Sarah Humayun
GSS 264 LEC 1,"Master Narratives: Minding Gender and Media
Gaps",16W,4.0,TR 12:00PM-1:50PM,Maria Amir
GSS 302 LEC 1,Feminist Theory,16W,4.0,TR 4:00PM-5:50PM,Maria Amir
HIST 122 LEC 1,East Asian History,16W,4.0,TR 11:00AM-12:50PM,Hassan Haider Karrar
HIST 124 LEC 1,The World Since 1453,16W,4.0,MW 4:00PM-5:50PM,Ameem Lutfi
HIST 2203 LEC 1,Making of Modern Afghanistan,16W,4.0,MW 4:00PM-5:50PM,Jahanzeb Baloch
HIST 2322 LEC 1,A Brief history of Evil,16W,4.0,TR 11:00AM-12:50PM,Muhammad Ali Raza
HIST 2324 LEC 1,"Conceptual Understanding of Borders and
Borderlands Studies",16W,4.0,MW 2:00PM-3:50PM,Ilyas Ahmad Chattha
HIST 314 LEC 1,19th Century Sikh Wall Paintings in Punjab,16W,4.0,MW 2:00PM-3:50PM,Nadhra Shahbaz Naeem Khan
HIST 3202 LEC 1,Civil War in the 20th Century,16W,4.0,TR 2:00PM-3:50PM,Ilyas Ahmad Chattha
HIST 329 LEC 1,The Cold War,16W,4.0,TR 1:30PM-3:20PM,Hassan Haider Karrar
HIST 3310 LEC 1,"The Atomic Age: Control, Confrontation, Disaster",16W,4.0,MW 12:00PM-1:50PM,Waqar Zaidi
HIST 427 LEC 1,"Walking in the City: Mapping Everyday Life in
Lahore",16W,4.0,WF 4:00PM-5:50PM,Ali Usman Qasmi
HMI 6202 LEC 1,Healthcare Operations Management,MS1,3.0,FSSu 8:30AM-10:30AM,Hassan Rauf Chaudhry
LANG 1202 LEC 1,Arabic for Quran,16W,4.0,WF 2:30PM-4:20PM,Hafiz Abdul Qadeer
LANG 122 LEC 1,Introduction to Balochi Language,16W,4.0,TR 10:00AM-11:50AM,Jahanzeb Baloch
LANG 123 LEC 1,Introduction to Punjabi Language,16W,4.0,TR 4:00PM-5:50PM,Zahid Hussain
LANG 124 LEC 1,Introduction to Arabic Language,16W,4.0,WF 4:30PM-6:20PM,Hafiz Abdul Qadeer
LANG 127 LEC 1,Introduction to Persian Language,16W,4.0,TR 12:00PM-1:50PM,Muhammad Iftikhar
LANG 128 LEC 1,Sindhi for Non-Sindhi Speakers,16W,4.0,MW 4:00PM-5:50PM,Ashok Kumar Khatri
